,endpoint,duration,status,controller_time,request_time
0,load_large_file,1.9195349216461182,200,1.3399405479431152,1.838616
1,sleep,5.328948020935059,200,4.1350438594818115,5.273225
2,log,6.9695518016815186,200,2.799900770187378,6.915636
3,throw_exception,1.1280057430267334,200,0.0,0.984363
4,add_numbers,2.3409290313720703,200,1.7679390907287598,2.212719
5,add_numbers_numpy,2.86324405670166,200,0.7580163478851318,2.811601
6,load_large_file,1.9515259265899658,200,1.3117470741271973,1.897352
7,sleep,5.001521110534668,200,4.150301218032837,4.95344
8,log,3.8507819175720215,200,2.9188947677612305,3.7895
9,throw_exception,0.6949708461761475,200,0.0,0.643368
10,add_numbers,3.8146629333496094,200,1.7810249328613281,2.664792
11,add_numbers_numpy,1.3444719314575195,200,0.7515256404876709,1.2758
12,load_large_file,1.8788678646087646,200,1.3149724006652832,1.827435
13,sleep,6.37021803855896,200,4.1340248584747314,6.272465
14,log,4.491935968399048,200,2.6864869594573975,4.404104
15,throw_exception,1.0100281238555908,200,0.0,0.895746
16,add_numbers,3.474893808364868,200,1.7714192867279053,3.307528
17,add_numbers_numpy,1.297753095626831,200,0.7223875522613525,1.250437
18,load_large_file,1.8754799365997314,200,1.2954490184783936,1.823178
19,sleep,5.346970796585083,200,4.150848150253296,5.288877
20,log,5.989655017852783,200,2.737954616546631,5.615103
21,throw_exception,1.2309648990631104,200,0.0,1.183296
22,add_numbers,2.5728189945220947,200,1.8053081035614014,2.521757
23,add_numbers_numpy,1.5990188121795654,200,0.7257051467895508,1.500392
24,load_large_file,1.9383771419525146,200,1.3038718700408936,1.811668
25,sleep,5.931429147720337,200,4.15643310546875,5.775197
26,log,11.669218063354492,200,2.7571113109588623,11.514669
27,throw_exception,0.6909208297729492,200,0.0,0.640467
28,add_numbers,2.515098810195923,200,1.783379077911377,2.455445
29,add_numbers_numpy,1.9734389781951904,200,0.7875268459320068,1.829364
30,load_large_file,1.839609146118164,200,1.3358173370361328,1.67312
31,sleep,4.5953569412231445,200,4.1476311683654785,4.545829
32,log,5.483225107192993,200,2.87385892868042,5.363744
33,throw_exception,1.9776890277862549,200,0.0,1.902443
34,add_numbers,2.450862169265747,200,1.7837355136871338,2.3461
35,add_numbers_numpy,3.5696980953216553,200,0.7203116416931152,3.432219
36,load_large_file,1.595973014831543,200,1.2971587181091309,1.544609
37,sleep,5.402121067047119,200,4.157849311828613,5.353642
38,log,5.173525810241699,200,2.884903907775879,5.024897
39,throw_exception,1.220005989074707,200,0.0,1.12042
40,add_numbers,3.4214489459991455,200,1.781445026397705,3.372437
41,add_numbers_numpy,1.790477991104126,200,0.71834397315979,1.284451
42,load_large_file,2.3950579166412354,200,1.2932136058807373,2.326888
43,sleep,4.753237962722778,200,4.159096956253052,4.65166
44,log,4.995849132537842,200,2.8727896213531494,4.870809
45,throw_exception,0.821753740310669,200,0.0,0.467759
46,add_numbers,2.4945201873779297,200,1.7686760425567627,2.446458
47,add_numbers_numpy,1.7905347347259521,200,0.7648732662200928,1.667502
48,load_large_file,4.2938220500946045,200,1.3149125576019287,3.488049
49,sleep,4.906446218490601,200,4.133264541625977,4.788409
50,log,3.901683807373047,200,2.7277121543884277,3.853491
51,throw_exception,0.7834937572479248,200,0.0,0.670063
52,add_numbers,3.473727226257324,200,1.778977394104004,2.617006
53,add_numbers_numpy,1.3239390850067139,200,0.75425124168396,1.159456
54,load_large_file,2.449125289916992,200,1.3147215843200684,2.377473
55,sleep,6.575224876403809,200,4.131108522415161,6.523638
56,log,9.178985118865967,200,2.653186321258545,9.122346
57,throw_exception,1.218846321105957,200,0.0,1.090253
58,add_numbers,3.2684638500213623,200,1.7716286182403564,3.204121
59,add_numbers_numpy,1.836435079574585,200,0.7796595096588135,1.706234
60,load_large_file,1.6442303657531738,200,1.3016538619995117,1.582599
61,sleep,4.896705865859985,200,4.142026901245117,4.7484
62,log,5.039942264556885,200,2.867889404296875,4.985073
63,throw_exception,2.007840871810913,200,0.0,1.871788
64,add_numbers,2.3423240184783936,200,1.770883321762085,2.2579
65,add_numbers_numpy,2.6550722122192383,200,0.7757487297058105,2.50452
66,load_large_file,1.9389581680297852,200,1.3180813789367676,1.798529
67,sleep,5.010004997253418,200,4.143983364105225,4.876046
68,log,5.103966951370239,200,2.7702929973602295,5.020256
69,throw_exception,0.8009121417999268,200,0.0,0.670328
70,add_numbers,3.1687300205230713,200,1.7806727886199951,3.008731
71,add_numbers_numpy,2.6205739974975586,200,0.7878561019897461,2.568851
72,load_large_file,2.075214147567749,200,1.3260302543640137,1.911445
73,sleep,4.396115064620972,200,4.151176691055298,4.343934
74,log,3.4922280311584473,200,2.7520527839660645,3.437465
75,throw_exception,0.3912491798400879,200,0.0,0.326614
76,add_numbers,2.6877377033233643,200,1.7702744007110596,2.628885
77,add_numbers_numpy,1.466176986694336,200,0.7857744693756104,1.289453
78,load_large_file,3.169243097305298,200,1.3230187892913818,3.05256
79,sleep,8.680168151855469,200,4.127718210220337,7.597777
80,log,12.040393829345703,200,2.9451634883880615,11.928593
81,throw_exception,2.603369951248169,200,0.0,2.541083
82,add_numbers,3.985726833343506,200,1.7851788997650146,3.866758
83,add_numbers_numpy,1.5321002006530762,200,0.7537205219268799,1.471389
84,load_large_file,4.697407007217407,200,1.3162524700164795,4.536681
85,sleep,5.901292085647583,200,4.171730041503906,5.835448
86,log,5.498762845993042,200,3.1918399333953857,5.428052
87,throw_exception,2.4941558837890625,200,0.0,2.32218
88,add_numbers,3.267289161682129,200,1.7742478847503662,3.174934
89,add_numbers_numpy,1.646347999572754,200,0.716106653213501,1.594585
90,load_large_file,1.8211448192596436,200,1.2969458103179932,1.714876
91,sleep,4.805905818939209,200,4.148231506347656,4.643302
92,log,5.309054851531982,200,2.943237543106079,5.223633
93,throw_exception,0.5997071266174316,200,0.0,0.459485
94,add_numbers,2.5257740020751953,200,1.772197961807251,2.477066
95,add_numbers_numpy,0.9580051898956299,200,0.7150464057922363,0.909954
96,load_large_file,1.7388041019439697,200,1.2939410209655762,1.646046
97,sleep,4.679866075515747,200,4.140284538269043,4.561528
98,log,6.95808219909668,200,3.1005661487579346,6.786182
99,throw_exception,1.2187902927398682,200,0.0,1.065372
100,add_numbers,2.7549221515655518,200,1.7792022228240967,2.661839
101,add_numbers_numpy,2.0404560565948486,200,0.7755637168884277,1.83704
102,load_large_file,2.3454749584198,200,1.3169841766357422,2.258653
103,sleep,4.907746076583862,200,4.149637460708618,4.832156
104,log,4.394221782684326,200,2.7349681854248047,4.280934
105,throw_exception,1.625622034072876,200,0.0,0.341312
106,add_numbers,2.76161789894104,200,1.8129754066467285,2.670648
107,add_numbers_numpy,2.1610617637634277,200,0.7762253284454346,2.11333
108,load_large_file,2.4237570762634277,200,1.306565284729004,2.370352
109,sleep,4.982905864715576,200,4.161273717880249,4.935557
110,log,4.3193018436431885,200,2.9543678760528564,4.199151
111,throw_exception,1.220848798751831,200,0.0,0.675567
112,add_numbers,2.4816460609436035,200,1.7685909271240234,2.423527
113,add_numbers_numpy,0.9224412441253662,200,0.7139194011688232,0.871657
114,load_large_file,3.4741549491882324,200,1.3162355422973633,3.422807
115,sleep,5.049950122833252,200,4.131375312805176,4.996324
116,log,4.1154749393463135,200,2.760883092880249,3.995052
117,throw_exception,0.7588510513305664,200,0.0,0.701588
118,add_numbers,2.215106964111328,200,1.7752442359924316,2.160532
119,add_numbers_numpy,1.0736932754516602,200,0.7241015434265137,1.025873
